"project_id","camera_id","make","model","serial_number","year_purchased"
"TT2007","T25L","","","",""
"TT2007","T25R","","","",""
"TT2007","T19L","","","",""
"TT2007","T19R","","","",""
"TT2007","T01R","","","",""
"TT2007","T26L","","","",""
"TT2007","T26R","","","",""
"TT2007","T08R","","","",""
"TT2007","T14L","","","",""
"TT2007","T14R","","","",""
"TT2007","T20L","","","",""
"TT2007","T20R","","","",""
"TT2007","T14T","","","",""
"TT2007","T32R","","","",""
"TT2007","T38L","","","",""
"TT2007","T38R","","","",""
"TT2007","T21L","","","",""
"TT2007","T15L","","","",""
"TT2007","T27L","","","",""
"TT2007","T27R","","","",""
"TT2007","T33L","","","",""
"TT2007","T33R","","","",""
"TT2007","T22L","","","",""
"TT2007","T22R","","","",""
"TT2007","T28L","","","",""
"TT2007","T28R","","","",""
"TT2007","T16L","","","",""
"TT2007","T16R","","","",""
"TT2007","T17L","","","",""
"TT2007","T23L","","","",""
"TT2007","T23R","","","",""
"TT2007","T29L","","","",""
"TT2007","T29R","","","",""
"TT2007","T36L","","","",""
"TT2007","T36R","","","",""
"TT2007","T24L","","","",""
"TT2007","T24R","","","",""
"TT2007","T42L","","","",""
"TT2007","T30L","","","",""
"TT2007","T30R","","","",""
"TT2007","TAW","","","",""
